exch|name|pric|pcode|com1|com2|com10|com20|unit|contractSize|tickSize
CFFEX|10YDebt|CFT|T|0|3.1|0|0|point|10000|0.005
DCE|PVC|DPV|V|2|0|0|0|tonne|5|5
SHFX|ZN|SZN|ZN|0|11|0|0|tonne|5|5
CFFEX|5YDebt|CTF|TF|0|3.1|0|0|point|10000|0.005
SHFX|Gold|SHAU|AU|0|11|0|0|g|1000|0.05
ZCE|Thermal Coal|CZC|ZC|0|4.2|0|4.2|tonne|200|0.2
CFFEX|CSI300|CIF|IF|0.24|0|0.24|0|point|300|0.2
CFFEX|CSI500|CIC|IC|0.24|0|0.24|0|point|200|0.2
CFFEX|SSE50|CIH|IH|0.24|0|0.24|0|point|300|0.2
DCE|IRON|DCIO|I|0.000061|0|0.000121|0|tonne|100|0.5
DCE|Coking Coal|DJM|JM|0.000061|0|0.000181|0|tonne|60|0.5
SHFX|CU|SCF|CU|0.000051|0|0.0000525|0|tonne|5|10
DCE|Corn|DCC|C|0|1.3|0|0|tonne|10|1
ZCE|SR|CSR|SR|0|3.1|0|0|tonne|10|2
DCE|Soy Oil|DBY|Y|0|2.6|0|2.6|tonne|10|2
DCE|DCOS|DCOS|CS|0|1.575|0|0|tonne|10|1
